stem,title,reference,doc_type,published_date,label,notes
CP25_17,CP25/17: Supporting consumers’ pensions and investment decisions: proposals for targeted support[pdf],CP25/17,CP,2025-06-30,,
PS22_14,Consumer redress scheme for unsuitable advice to transfer out of the British Steel Pension Scheme - addendum to PS22/14[pdf],PS22/14,PS,2023-01-26,,
handbook_notice_136,Handbook Notice 136[pdf],,HN,2025-12-19,,
PS25_23,PS25/23: Tackling non-financial misconduct in financial services[pdf],PS25/23,PS,2025-12-12,,
CP24_3,CP24/3: Quarterly Consultation Paper No. 43[pdf],CP24/3,CP,2024-03-01,,
CP24_9,CP24/9: Financial Crime Guide updates[pdf],CP24/9,CP,2024-04-25,,
CP23_22,CP23/22: Regulatory fees and levies: policy proposals for 2024/25[pdf],CP23/22,CP,2023-11-21,,
PS23_15,PS23/15: Remuneration: Ratio between fixed and variable components of total remuneration,PS23/15,PS,2023-10-24,,
CP25_36,CP25/36: Client categorisation and conflicts of interest[pdf],CP25/36,CP,2025-12-08,,
FG24_1,FG24/1: Finalised guidance on financial promotions on social media[pdf],FG24/1,FG,2024-03-26,,
PS23_3,PS23/3: Creation of a baseline financial resilience regulatory return: Feedback to CP22/19 and final rules[pdf],PS23/3,PS,2023-05-02,,
PS24_7,PS24/7: Implementing the Overseas Funds Regime[pdf],PS24/7,PS,2024-07-17,,
CP24_24,CP24/24: The MiFID Organisational Regulation[pdf],CP24/24,CP,2024-11-27,,
handbook_notice_129,Handbook Notice 129[pdf],,HN,2025-05-02,,
PS25_2,PS25/2: Derivatives trading obligation and post-trade risk reduction services[pdf],PS25/2,PS,2025-04-03,,
CP24_20,CP24/20: Changes to the safeguarding regime for payments and e-money firms[pdf],CP24/20,CP,2024-09-25,,
PS23_2,"PS23/2: Changes to reporting requirements, procedures for data quality and registration of Trade Repositories under UK EMIR[pdf]",PS23/2,PS,2023-02-24,,
handbook_notice_125,Handbook Notice 125[pdf],,HN,2024-12-20,,
PS25_20,PS25/20: Supporting informed decision making: Final rules for Consumer Composite Investments[pdf],PS25/20,PS,2025-12-08,,
CP26_28,CP26/28: The UK AIFM Regime[pdf],CP26/28,CP,2026-07-14,,
PS24_2,PS24/2: Strengthening protections for borrowers in financial difficulty: Consumer credit and mortgages[pdf],PS24/2,PS,2024-04-10,,
PS26_16,PS26/16: Changes to information flows for UK equity IPOs[pdf],PS26/16,PS,2026-08-05,,
fca_approach_payment_services_electronic_money_2017_november_2024_tracked_changes,Tracked changes: Payment Services and Electronic Money – Our Approach – November 2024[pdf],,FG,2024-11-22,,
changes_uk_emir_reporting_requirements_draft_questions_answers,Changes to UK EMIR reporting requirements: draft questions and answers,,CP,2024-03-01,,
CP25_22,CP25/22: Modernising the redress system[pdf],CP25/22,CP,2025-07-15,,
CP25_32,CP25/32: Improving the UK transaction reporting regime[pdf],CP25/32,CP,2025-11-21,,
CP26_17,CP26/17: Quarterly consultation paper No. 52[pdf],CP26/17,CP,2026-06-05,,
PS25_14,PS25/14: Definition of capital for FCA investment firms[pdf],PS25/14,PS,2025-10-15,,
FG23_6,FG23/6: General guidance on the application of ex-post risk adjustment to variable remuneration[pdf],FG23/6,FG,2023-12-05,,
CP24_21,CP24/21: Investment research payment optionality for fund managers[pdf],CP24/21,CP,2024-11-05,,
CP25_19,CP25/19: Ancillary Activities Test[pdf],CP25/19,CP,2025-07-03,,
PS24_13,PS24/13: Joint PRA and FCA Consequential Amendments to BTS 2016/2251,PS24/13,PS,2024-10-31,,
PS26_12,PS26/12: A Prudential Regime for Cryptoasset Firms[pdf],PS26/12,PS,2026-06-30,,
CP25_21,CP25/21: Senior Managers & Certification Regime review[pdf],CP25/21,CP,2025-07-15,,
FG25_1,FG25/1: Primary Market Bulletin No. 55,FG25/1,FG,2025-04-17,,
handbook_notice_142,Handbook Notice 142[pdf],,HN,2026-06-26,,
CP25_4,CP25/4: Quarterly Consultation Paper No. 47[pdf],CP25/4,CP,2025-03-07,,
PS26_13,PS26/13: Application of FCA Handbook for Regulated Cryptoasset Activities[pdf],PS26/13,PS,2026-06-30,,
ps26_2_amendments_approach_document_annex_2,PS26/2: Annex 2: Amendments to Approach document[pdf],,PS,2026-03-18,,
cp25_27_technical_annex_2,CP25/27: Technical Annex 2: State of Competition in the Motor Finance Market[pdf],,CP,2025-10-07,,
CP25_8,CP25/8: Data Decommissioning: Removing reporting and notification requirements[pdf],CP25/8,CP,2025-04-16,,
CP25_12,CP25/12: Simplifying the insurance rules[pdf],CP25/12,CP,2025-05-14,,
PS24_15,PS24/15: Regulatory framework for pensions dashboard service firms November[pdf],PS24/15,PS,2024-11-07,,
FG26_4,FG26/4: Material Third Party Reporting[pdf],FG26/4,FG,2026-03-18,,
handbooknotice123,Handbook Notice 123[pdf],,HN,2024-11-01,,
handbook_notice_109,Handbook Notice 109[pdf],,HN,2023-04-28,,
PS23_8,PS23/8: Mortgage Charter: enabling provisions[pdf],PS23/8,PS,2023-06-30,,
CP24_17,CP24/17: Enhancing the National Storage Mechanism[pdf],CP24/17,CP,2024-08-09,,
CP25_34,"CP25/34: ESG (environmental, social, governance) ratings: Proposed approach to regulation[pdf]",CP25/34,CP,2025-12-01,,
CP25_11,CP25/11: Mortgage Rule Review: First steps to simplify our rules and increase flexibility[pdf],CP25/11,CP,2025-05-07,,
PS24_8,PS24/8: Access to Cash[pdf],PS24/8,PS,2024-07-24,,
CP23_8,CP23/8: Multi-occupancy building insurance[pdf],CP23/8,CP,2023-04-21,,
PS25_8,PS25/8: FCA regulated fees and levies 2025/26[pdf],PS25/8,PS,2025-07-01,,
CP25_13,CP25/13: Improving the complaints reporting process[pdf],CP25/13,CP,2025-05-22,,
handbook_notice_111,Handbook Notice 111[pdf],,HN,2023-07-28,,
CP23_24,CP23/24: Capital deduction for redress: personal investment firms[pdf],CP23/24,CP,2023-11-29,,
PS24_18,PS24/18: Further temporary changes to handling rules for motor finance complaints[pdf],PS24/18,PS,2024-12-19,,
FG23_4,FG23/4: Dual-regulation firms Remuneration Code (SYSC 19D): Frequently asked questions on remuneration[pdf],FG23/4,FG,2023-12-05,,
FG26_5,FG26/5: Application of the Consumer Duty to cryptoasset firms[pdf],FG26/5,FG,2026-06-30,,
PS23_4,PS23/4: Improving Equity Secondary Markets[pdf],PS23/4,PS,2023-05-03,,
ps26_2_changes_incident_reporting_templates_annex_2,PS26/2: Annex 2: Changes to the incident reporting templates[pdf],,PS,2026-03-18,,
handbook_notice_128,Handbook Notice 128[pdf],,HN,2025-03-28,,
CP25_41,CP25/41: Regulating Cryptoassets: Admissions & Disclosures and Market Abuse Regime for Cryptoassets[pdf],CP25/41,CP,2025-12-16,,
vote_reporting_consultation_discussion_paper,Vote Reporting: A consultation and discussion paper from the Vote Reporting Group[pdf],,CP,2023-06-21,,
CP23_5,CP23/5: Debt packagers: feedback on CP21/30 and further consultation on new rules and perimeter guidance[pdf],CP23/5,CP,2023-02-02,,
PS25_7,PS25/7: Data Decommissioning: Removing reporting and notification requirements[pdf],PS25/7,PS,2025-06-27,,
CP26_7,CP26/7: Credit Information Market Study: Proposed approach to implementing FCA remedies[pdf],CP26/7,CP,2026-02-25,,
handbook_notice_106,Handbook Notice 106[pdf],,HN,2023-01-27,,
cp23_29_annex,Technical Annex to CP23/29[pdf],,CP,2023-12-07,,
PS25_4,PS25/4: Investment research payment optionality for fund managers[pdf],PS25/4,PS,2025-05-09,,
explanatory_statement_direction_derivatives_trading_obligation_article_28a9_mifir,Explanatory note for our direction for the derivatives trading obligation under Article 28a(9) MiFIR[pdf],,HN,2025-07-17,,
PS26_15,PS26/15: Improving the UK transaction reporting regime[pdf],PS26/15,PS,2026-08-03,,
FG23_2,FG23/2: Guidance for firms supporting their existing mortgage borrowers impacted by the rising cost of living[pdf],FG23/2,FG,2023-03-10,,
CP26_14,CP26/14: Changes to information flows for UK equity IPOs[pdf],CP26/14,CP,2026-04-27,,
CP23_27,CP23/27: Reforming the commodity derivatives regulatory framework[pdf],CP23/27,CP,2023-12-04,,
CP23_18,CP23/18: Quarterly Consultation Paper No. 41[pdf],CP23/18,CP,2023-09-01,,
CP23_21,CP23/21: Consumer Credit Product Sales Data Reporting - Sales Data Flow Diagram[pdf],CP23/21,CP,2023-11-14,,
CP25_28,CP25/28: Progressing fund tokenisation[pdf],CP25/28,CP,2025-10-14,,
explanatory_statement_direction_derivatives_trading_obligation_direction_renewal,Explanatory statement under Article 28a(9) Markets in Financial Instruments Regulation relating to the FCA's direction on the Derivatives Trading Obligation[pdf],,HN,2026-07-09,,
PS26_7,PS26/7: Progressing Fund Tokenisation[pdf],PS26/7,PS,2026-04-30,,
handbook_notice_124,Handbook Notice 124[pdf],,HN,2024-11-29,,
CP23_31,CP23/31: Primary Markets Effectiveness Review: Feedback to CP23/10 and detailed proposals for listing rules reforms[pdf],CP23/31,CP,2023-12-20,,
PS24_1,PS24/1: Temporary changes to handling rules for motor finance complaints[pdf],PS24/1,PS,2024-01-11,,
PS25_21,PS25/21: Simplifying the insurance rules[pdf],PS25/21,PS,2025-12-09,,
FG25_2,FG25/2: Guidance for insolvency practitioners on how to approach regulated firms[pdf],FG25/2,FG,2025-04-28,,
FG24_3,FG24/3: Finalised non‑handbook guidance on the Anti‑Greenwashing Rule[pdf],FG24/3,FG,2024-04-23,,
handbook_notice_127,Handbook Notice 127[pdf],,HN,2025-02-28,,
CP26_16,CP26/16: Registration of authorised fund assets[pdf],CP26/16,CP,2026-05-21,,
CP24_22,CP24/22: Further temporary changes to handling rules for motor finance complaints[pdf],CP24/22,CP,2024-11-21,,
CP23_11,CP23/11: Remuneration: Enhancing proportionality for dual‑regulated firms[pdf],CP23/11,CP,2023-05-12,,
PS24_11,PS24/11: Extending the temporary changes to handling rules for motor finance complaints[pdf],PS24/11,PS,2024-09-24,,
PS26_10,PS26/10: Stablecoin issuance[pdf],PS26/10,PS,2026-06-30,,
handbook_notice_108,Handbook Notice 108[pdf],,HN,2023-03-31,,
explanatory_statement_direction_derivatives_trading_obligation_article_28a_mifir,Explanatory note for our direction for the derivatives trading obligation under Article 28a(6) Markets in Financial Instruments Regulation[pdf],,HN,2024-11-29,,
PS23_18,PS23/18: Smarter Regulatory Framework: The Insurance Distribution Directive Feedback to CP23/19 and Final Rules[pdf],PS23/18,PS,2023-12-15,,
CP23_19,CP23/19: Future Regulatory Framework - The Insurance Distribution Directive[pdf],CP23/19,CP,2023-09-05,,
handbook_notice_118,Handbook Notice 118[pdf],,HN,2024-04-26,,
ps26_2_changes_third_party_reporting_templates_annex_3,PS26/2: Annex 3: Changes to the material third party reporting templates[pdf],,PS,2026-03-18,,
cryptoasset_regime,Overview of our cryptoassets regime policy statements,,PS,2026-06-30,,
CP25_2,CP25/2: Consultation on further changes to the public offers and admissions to trading regime and the UK Listing Rules[pdf],CP25/2,CP,2025-01-31,,
CP25_27,CP25/27: Motor Finance Consumer Redress Scheme[pdf],CP25/27,CP,2025-10-07,,
handbook_notice_134,Handbook Notice 134[pdf],,HN,2025-10-31,,
PS26_9,PS26/9: Admissions & Disclosures and Market Abuse Regime for Cryptoassets[pdf],PS26/9,PS,2026-06-30,,
CP25_30,CP25/30: Streamlining the UK EMIR Intragroup Regime[pdf],CP25/30,CP,2025-11-05,,
CP23_17,Addendum to CP23/17: Rules relating to Securitisation[pdf],CP23/17,CP,2023-10-16,,
CP26_23,CP26/23 Consumer Duty: scope and proportionality[pdf],CP26/23,CP,2026-06-29,,
CP26_13,CP26/13: Cryptoasset perimeter guidance[pdf],CP26/13,CP,2026-04-15,,
handbook_notice_113,Handbook Notice 113[pdf],,HN,2023-10-27,,
CP25_35,CP25/35: Quarterly consultation paper No. 50[pdf],CP25/35,CP,2025-12-05,,
CP24_13,CP24/13: Consultation on the new public offer platform regime[pdf],CP24/13,CP,2024-07-26,,
FG24_6,FG24/6: Guidance for firms that enables a risk-based approach to payments[pdf],FG24/6,FG,2024-11-22,,
PS25_5,PS25/5: Our Enforcement Guide and greater transparency of our enforcement investigations[pdf],PS25/5,PS,2025-06-03,,
PS23_6,PS23/6: Financial promotion rules for cryptoassets[pdf],PS23/6,PS,2023-06-08,,
CP24_16,CP24/16: Value for Money Framework[pdf],CP24/16,CP,2024-08-08,,
FG26_1,FG26/1: Primary Market Bulletin No. 61,FG26/1,FG,2026-01-12,,
CP26_27,CP26/27: Remuneration: Solo-regulated firms’ rules reform[pdf],CP26/27,CP,2026-07-14,,
dto_direction_variation_note,Explanatory note: Direction to vary FCA Transitional Direction for the Derivatives Trading Obligation[pdf],,HN,2023-08-29,,
PS24_16,PS24/16: Operational resilience: Critical third parties to the UK financial sector,PS24/16,PS,2024-11-12,,
handbook_notice_117,Handbook Notice 117[pdf],,HN,2024-04-02,,
handbook_notice_119,Handbook Notice 119[pdf],,HN,2024-05-24,,
CP23_33,CP23/33: Consultation on Payments to data providers and forms for Data Reporting Services Providers including Policy Statement for the framework for UK consolidated tape (CP23/15)[pdf],CP23/33,CP,2023-12-20,,
CP25_3,CP25/3: Consultation on further proposals for firms operating public offer platforms[pdf],CP25/3,CP,2025-01-31,,
CP26_4,CP26/4: Application of FCA Handbook for regulated cryptoasset activities – part 2[pdf],CP26/4,CP,2026-01-23,,
CP23_2,CP23/2: Streamlining our transparency rules on structured digital reporting of annual financial statements by companies[pdf],CP23/2,CP,2023-01-12,,
handbook_notice_140,Handbook Notice 140[pdf],,HN,2026-04-24,,
CP25_25,CP25/25: Application of FCA Handbook for Regulated Cryptoasset Activities[pdf],CP25/25,CP,2025-09-17,,
PS26_8,PS26/8: Retail Banking Business Models Data[pdf],PS26/8,PS,2026-05-29,,
PS25_18,PS25/18: Changes to handling rules for motor finance complaints[pdf],PS25/18,PS,2025-12-03,,
crypto_relevant_application_period_direction,Relevant application period for an application for a relevant cryptoasset permission made to the FCA under section 55U of The Financial Services and Markets Act 2000 (as amended)[pdf],,HN,2026-02-27,,
PS25_24,PS25/24: Ancillary Activities Test[pdf],PS25/24,PS,2025-12-19,,
PS25_17,PS25/17: SI regime for bonds and derivatives and other consultation proposals[pdf],PS25/17,PS,2025-11-28,,
cba_aggregate_cryptoasset,Cost Benefit Analysis – Cryptoasset Regime[pdf],,PS,2026-06-30,,
CP26_31,CP26/31: Policy Statement for the framework for a UK equity consolidated tape and next steps for delivery[pdf],CP26/31,CP,2026-07-31,,
explanatory_statement_direction_derivatives_trading_obligation_article_28a9_mifir_2026,Explanatory note for our direction for the derivatives trading obligation under Article 28a(9) MiFIR 2026[pdf],,HN,2026-01-05,,
CP26_24,CP26/24: Simplifying Consumer Investment Disclosures[pdf],CP26/24,CP,2026-07-02,,
FG25_5,FG25/5: Primary Market Bulletin No. 57,FG25/5,FG,2025-07-25,,
FG23_5,FG23/5: General Guidance on Proportionality: The Dual-regulated firms Remuneration Code (SYSC 19D)[pdf],FG23/5,FG,2023-12-05,,
PS26_2,PS26/2: Operational Incident and Third Party Reporting[pdf],PS26/2,PS,2026-03-18,,
CP25_20,CP25/20: Consultation Paper on the SI regime for bonds and derivatives[pdf],CP25/20,CP,2025-07-04,,
PS25_22,PS25/22: Supporting consumers’ pensions and investment decisions: rules for targeted support[pdf],PS25/22,PS,2025-12-11,,
CP26_10,CP26/10: Simplifying the Pensions and Investment Advice Rules[pdf],CP26/10,CP,2026-03-25,,
CP26_19,CP26/19: Decision Procedure and Penalties Manual updates[pdf],CP26/19,CP,2026-06-15,,
PS24_9,PS24/9: Payment Optionality for Investment Research[pdf],PS24/9,PS,2024-07-26,,
CP23_6,CP23/6: Quarterly Consultation Paper No. 39[pdf],CP23/6,CP,2023-03-03,,
CP23_26,CP23/26: Implementing the Overseas Funds Regime[pdf],CP23/26,CP,2023-12-04,,
CP24_1,CP24/1: Financial Services Compensation Scheme - Management Expenses Levy Limit 2024/25,CP24/1,CP,2024-01-11,,
CP25_42,CP25/42: A prudential regime for cryptoasset firms[pdf],CP25/42,CP,2025-12-16,,
handbook_notice_122,Handbook Notice 122[pdf],,HN,2024-10-04,,
CP24_2,"CP24/2, Part 2: Greater transparency of our enforcement investigations[pdf]",CP24/2,CP,2024-11-28,,
CP25_7,CP25/7: FCA regulated fees and levies: rates proposals for 2025/26[pdf],CP25/7,CP,2025-04-08,,
PS23_14,PS23/14: Multi-occupancy building insurance: Feedback to CP23/8 and final rules[pdf],PS23/14,PS,2023-09-29,,
payment_services_electronic_money_approach_march_2026,Payment Services and Electronic Money – Our Approach – March 2026 (version 7)[pdf],,FG,2026-03-19,,
CP26_9,CP26/9: Modernising the Redress System[pdf],CP26/9,CP,2026-03-16,,
CP24_26,CP24/26: Quarterly Consultation Paper No 46[pdf],CP24/26,CP,2024-12-06,,
handbook_notice_141,Handbook Notice 141[pdf],,HN,2026-05-29,,
FG26_2,FG26/2: Primary Market Bulletin No. 63,FG26/2,FG,2026-04-27,,
CP26_26,CP26/26: Fund Reporting for Asset Management Entities (FRAME)[pdf],CP26/26,CP,2026-07-14,,
PS23_11,PS23/11: Guidance on the trading venue perimeter[pdf],PS23/11,PS,2023-07-05,,
FG25_3,FG25/3 The treatment of politically exposed persons for anti-money laundering purposes[pdf],FG25/3,FG,2025-07-07,,
CP23_29,CP23/29: Access to cash[pdf],CP23/29,CP,2023-12-07,,
